time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,3.7646665750302007e-19,5.028604182389285e-08,0.0,1.6500502716888746e-13,1.9996468498784343,-2.970418298341769e-06,0.8017866020582574,6.6444220337e-20,5.3603107434471334e-08,-4.102320049813486e-17,0.0,0.0,0.0
0.01,2.9502651399794025e-19,5.389162769552996e-08,0.0,2.8244848054848577e-13,1.9992221796803242,-4.764391942340786e-06,0.7956331076865404,1.6335755560253155e-19,6.64199611597502e-08,-5.281348133894915e-17,0.0,0.0055104379930924,0.0
0.02,1.5898917076938346e-19,5.2481557918871625e-08,0.0,4.000313506312752e-13,1.998563962661018,-6.510646200550877e-06,0.7895522271220828,2.681309129485734e-19,7.53010743008878e-08,-6.190318783949926e-17,0.0,0.0110195026695125,0.0
0.03,-3.118784206537135e-20,4.486701610812547e-08,0.0,5.047414699415114e-13,1.9976838535998247,-8.00252073451623e-06,0.7835514822073517,3.712411670332517e-19,7.820482032153748e-08,-6.655884657860857e-17,0.0,0.0165258210548468,0.0
0.04,-2.6891394759691615e-19,3.022909852151201e-08,0.0,5.81505250018606e-13,1.9966215458247534,-9.006162481850604e-06,0.7776359044320648,4.607954224679715e-19,7.320552292442763e-08,-6.507425884253857e-17,0.0,0.0220280208591157,0.0
0.05,-5.405521012079964e-19,8.308946901188635e-09,0.0,6.143080701626127e-13,1.9954479020649971,-9.279192950285473e-06,0.7718087940425804,5.232156588970508e-19,5.8738336750598915e-08,-5.596723044011014e-17,0.0,0.0275247308187759,0.0
0.06,-8.250426262250925e-19,-2.0413292647422446e-08,0.0,5.877197167026894e-13,1.994265437588292,-8.595329111474349e-06,0.7660722515553804,5.442940936553398e-19,3.3869755034875e-08,-3.820420270627929e-17,0.0,0.0330145810384688,0.0
0.07,-1.0942501750679227e-18,-5.457354908741216e-08,0.0,4.887641626593522e-13,1.9932053714822622,-6.773821541538313e-06,0.7604274868595918,5.106015388064873e-19,-1.4294122773748531e-09,-1.1435331222458841e-17,0.0,0.0384962033324266,0.0
0.08,-1.3141892628032254e-18,-9.183816270921863e-08,0.0,3.090184585857343e-13,1.9924206228815329,-3.7117338614566027e-06,0.7548749325094553,4.111870877293048e-19,-4.6038232001173775e-08,2.378328263914226e-17,0.0,0.0439682315654531,0.0
0.09,-1.4472279808878856e-18,-1.2890288272167876e-07,0.0,4.6769154750594386e-14,1.9920743985890261,5.837579092084471e-07,0.74941420385145,2.3945858399524004e-19,-9.750158928570703e-08,6.580832442674882e-17,0.0,0.0494293019933934,0.0
0.1,-1.4552876239965577e-18,-1.615993462732671e-07,0.0,-2.9099774256225607e-13,1.9923243950271992,5.966626468655336e-06,0.7440439594082782,-4.916396518551015e-21,-1.5194487333364386e-07,1.1180007488192138e-16,0.0,0.0548780536030072,0.0
0.11,-1.3039501579162652e-18,-1.8512604799941192e-07,0.0,-6.870388829703127e-13,1.9933031063399873,1.2130960310205658e-05,0.7387617205125441,-3.1429458578267225e-19,-2.0412336470854203e-07,1.5771674862587217e-16,0.0,0.060313128451162,0.0
0.12,-9.672610487224529e-19,-1.944115512305291e-07,0.0,-1.1130166173870979e-12,1.9950952629587888,1.8602038727347286e-05,0.7335637096105617,-6.717662123069588e-19,-2.4763697266740335e-07,1.984407618415226e-16,0.0,0.0657331720032609,0.0
0.13,-4.3288078410635615e-19,-1.8460509026679022e-07,0.0,-1.5296692561517893e-12,1.9977139772929549,2.4743753299822372e-05,0.7284447621140765,-1.0505466760842665e-18,-2.753308354686651e-07,2.2805829880473996e-16,0.0,0.0711368334708214,0.0
0.14,2.928932798733767e-19,-1.5167426970951139e-07,0.0,-1.8882397551594497e-12,2.001077687624281,2.9785936626030736e-05,0.7233983575293659,-1.4143013072083338e-18,-2.798871652173045e-07,2.403022606874189e-16,0.0,0.0765227661481197,0.0
0.15,1.1808270303995699e-18,-9.307223395912023e-08,0.0,-2.133341710722979e-12,2.0049903987889945,3.2873904177688296e-05,0.7184168022558538,-1.7186174372304042e-18,-2.545939312746685e-07,2.291532468384552e-16,0.0,0.0818896277478181,0.0
0.16,2.1758426723551905e-18,-8.418875044875608e-09,0.0,-2.2073299782372707e-12,2.009127943582454,3.314066767740143e-05,0.7134915791928953,-1.9137681061635394e-18,-1.9425248037341025e-07,1.8957423976938329e-16,0.0,0.0872360807354914,0.0
0.17,3.1962011145211496e-18,9.987578006217509e-08,0.0,-2.056094278821752e-12,2.0130329576982047,2.9799884486301492e-05,0.7086138585343482,-1.9488070488454726e-18,-9.616060104064722e-08,1.1833329619922146e-16,0.0,0.0925607926629685,0.0
