time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,5.0645724566811573e-20,2.666248469408325e-10,0.0,5.692185493467544e-14,1.5222024146391024,-2.3336084599421203e-06,0.24013203458633411,0.0,-3.319985745498035e-16,-8.261062214016363e-10,1.0444525050869157e-15,0.0,0.0,0.0
0.01,5.588346840134862e-20,5.901444348381177e-10,0.0,9.708587825538306e-14,1.4938392095706925,-3.7393474156275545e-06,0.24040811019070907,0.0,-1.8050764827355678e-16,-7.312138929134852e-10,1.0385241123941623e-15,0.0,0.0055104379930924,0.0
0.02,5.632222775314789e-20,9.34927115602924e-10,0.0,1.3724281525261485e-13,1.4657654937095235,-5.107025674565251e-06,0.24324868411142148,0.0,3.165695805978256e-17,-5.296926661874867e-10,9.157136413614932e-16,0.0,0.0110195026695125,0.0
0.03,5.062605615026057e-20,1.268400217840963e-09,0.0,1.7293413433298677e-13,1.4379232702808764,-6.27460129581397e-06,0.25044946106949845,0.0,2.972163375044129e-16,-2.1531324691484168e-10,6.583034890505399e-16,0.0,0.0165258210548468,0.0
0.04,3.778173475668262e-20,1.5505095966592013e-09,0.0,1.9900105863977307e-13,1.4102530180597364,-7.0587820770118984e-06,0.26361208914887213,0.0,6.010115247687036e-16,2.0729558264352247e-10,2.5876624024661463e-16,0.0,0.0220280208591157,0.0
0.05,1.729782063466727e-20,1.7361594852233963e-09,0.0,2.0996941565375998e-13,1.3827017612274983,-7.269673781211723e-06,0.2839459772126321,0.0,9.195726930537685e-16,7.202483532564245e-10,-2.766663488450012e-16,0.0,0.0275247308187759,0.0
0.06,-1.0600839055084079e-20,1.7788664870741707e-09,0.0,2.0057275002521176e-13,1.3552284242438646,-6.730090398822888e-06,0.3120895219846249,0.0,1.2214954274691629e-15,1.2908326090291042e-09,-9.25004530314581e-16,0.0,0.0330145810384688,0.0
0.07,-4.480593711332824e-20,1.635547731215346e-09,0.0,1.663927089711684e-13,1.3278063806708333,-5.298633214722965e-06,0.34797007788886086,0.0,1.4687987861285499e-15,1.8711634242603295e-09,-1.6445577577616431e-15,0.0,0.0384962033324266,0.0
0.08,-8.321177360104375e-20,1.272215850156844e-09,0.0,1.0457705742943761e-13,1.3004234038929334,-2.8949874630602844e-06,0.390721595707752,0.0,1.6193777297079971e-15,2.3994296247667257e-09,-2.3745468297777563e-15,0.0,0.0439682315654531,0.0
0.09,-1.226814885220721e-19,6.701917903781586e-10,0.0,1.4576425881495465e-14,1.2730794727151724,4.7477691981054183e-07,0.4386763087358263,0.0,1.6305712064655834e-15,2.8030203090987222e-09,-3.0367311278768287e-15,0.0,0.0494293019933934,0.0
0.1,-1.5911871143309367e-19,-1.6771536197134958e-10,0.0,-1.0117698655627508e-13,1.2457830624392927,4.6957081175651864e-06,0.48944143581159194,0.0,1.463749034913351e-15,3.003688933627074e-09,-3.5394108121038734e-15,0.0,0.0548780536030072,0.0
0.11,-1.8766494990232492e-19,-1.2117564418851949e-09,0.0,-2.3673968224293306e-13,1.2185466557216065,9.527528373352563e-06,0.540062893158849,0.0,1.089681644080233e-15,2.924728208155057e-09,-3.783996707856904e-15,0.0,0.060313128451162,0.0
0.12,-2.0303453079671201e-19,-2.4013186425087506e-09,0.0,-3.8237488344620654e-13,1.1913822362866269,1.4597692232572671e-05,0.5872653591253757,0.0,4.943065357662472e-16,2.4998986422195946e-09,-3.674107262015121e-15,0.0,0.0657331720032609,0.0
