time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,4.475324784147812e-25,-1.1832462318556763e-09,0.0,1.5053044601648707e-14,0.253397499739892,-4.120900132287932e-06,0.03332247440293427,0.0,4.649555465565906e-16,1.2620927429353964e-12,0.0,1.4009084857354487e-15,0.0,0.0,0.0
0.01,4.431854550333317e-25,-2.0779001669013696e-09,0.0,2.474951652044281e-14,0.2771840164055192,-6.591670807905512e-06,0.03588012698124643,0.0,7.40966621860781e-16,1.3042684117506127e-12,0.0,1.1209064896516902e-15,0.0,0.0055104379930924,0.0
0.02,3.8847212949597693e-25,-2.981849858230309e-09,0.0,3.429848836719168e-14,0.3005976233002585,-8.993404778902698e-06,0.03903311623551824,0.0,1.0087539769836899e-15,1.2129633739093612e-12,0.0,6.413616226741447e-16,0.0,0.0110195026695125,0.0
0.03,2.7595669371360307e-25,-3.797236617808797e-09,0.0,4.2600810752806335e-14,0.32336562347103665,-1.1040955625497363e-05,0.04375746304930021,0.0,1.2363833029583727e-15,9.625101758446389e-13,0.0,-3.801300633604624e-17,0.0,0.0165258210548468,0.0
0.04,1.0262573287706456e-25,-4.409784826850334e-09,0.0,4.8400877046471885e-14,0.3452473321132966,-1.2412011487322418e-05,0.05104338875398761,0.0,1.3878126608074168e-15,5.38024406240663e-13,0.0,-8.953971129617688e-16,0.0,0.0220280208591157,0.0
0.05,-1.285910158624908e-25,-4.697084725834369e-09,0.0,5.038403911329455e-14,0.36604194964390185,-1.2772907629831308e-05,0.061802864512968264,0.0,1.4257918877158046e-15,-6.005056022629562e-14,0.0,-1.8833557840932295e-15,0.0,0.0275247308187759,0.0
0.06,-4.075517695704342e-25,-4.539999920294102e-09,0.0,4.730671488746721e-14,0.38559329287583705,-1.1812623083448679e-05,0.07677395605642628,0.0,1.3156738456433634e-15,-8.118813931996912e-13,0.0,-2.927234827852985e-15,0.0,0.0330145810384688,0.0
0.07,-7.160940950082663e-25,-3.8367713429121216e-09,0.0,3.815351151668211e-14,0.4037911473324534,-9.283382434298087e-06,0.09642959493749297,0.0,1.0299589907090535e-15,-1.6752456147727272e-12,0.0,-3.926147458251176e-15,0.0,0.0384962033324266,0.0
0.08,-1.0278998247277326e-24,-2.518975192427137e-09,0.0,2.2311165146340242e-14,0.4205693815256868,-5.045127055869086e-06,0.12089949036966187,0.0,5.532654468845661e-16,-2.584213464992196e-12,0.0,-4.757137854556097e-15,0.0,0.0439682315654531,0.0
0.09,-1.3092291494052046e-24,-5.680605710454219e-10,0.0,-2.5550514019338276e-16,0.43590128829611985,8.9004330088545e-07,0.14991432217909992,0.0,-1.1271303587550432e-16,-3.450108069717864e-12,0.0,-5.282911514292746e-15,0.0,0.0494293019933934,0.0
0.1,-1.5206755312717657e-24,1.969213614505027e-09,0.0,-2.8844626743663745e-14,0.44979285913006034,8.318400209706559e-06,0.1827807172716233,0.0,-9.448148972482792e-16,-4.165248429527379e-12,0.0,-5.363230939125217e-15,0.0,0.0548780536030072,0.0
0.11,-1.6200204327861324e-24,4.968451469861253e-09,0.0,-6.189749445851016e-14,0.4622748416625931,1.6815802834653718e-05,0.2183933612073215,0.0,-1.8952237130512826e-15,-4.609806140764768e-12,0.0,-4.869694716747305e-15,0.0,0.060313128451162,0.0
0.12,-1.5661659472537321e-24,8.220605275282837e-09,0.0,-9.694179531443009e-14,0.4733944777120591,2.5725662679799125e-05,0.2552866809652674,0.0,-2.8901633375799875e-15,-4.661849849118222e-12,0.0,-3.703166829452226e-15,0.0,0.0657331720032609,0.0
0.13,-1.3239978768306761e-24,1.143247668343155e-08,0.0,-1.3062103832491975e-13,0.48320777625194233,3.4169485411808965e-05,0.29172364959765407,0.0,-3.83112496444292e-15,-4.2103173987593905e-12,0.0,-1.81263214585468e-15,0.0,0.0711368334708214,0.0
0.14,-8.698889576867292e-25,1.4236694347633828e-08,0.0,-1.588300385934739e-13,0.4917730538184415,4.1084875365865055e-05,0.3258156959779887,0.0,-4.599169023194985e-15,-3.1702608715105713e-12,0.0,7.862326023905204e-16,0.0,0.0765227661481197,0.0
0.15,-1.9740299848725664e-25,1.621260218750796e-08,0.0,-1.7696985409168454e-13,0.4991462892340924,4.5294150056220044e-05,0.3556668315645313,0.0,-5.0626491031263525e-15,-1.4992817460068682e-12,0.0,3.994910334238062e-15,0.0,0.0818896277478181,0.0
0.16,6.773794223018215e-25,1.6918665952004367e-08,0.0,-1.8032590823437444e-13,0.5053786114022659,4.560415806215479e-05,0.3795342637879824,0.0,-5.0884183263124944e-15,7.863491472605447e-13,0.0,7.620760137306623e-15,0.0,0.0872360807354914,0.0
0.17,1.7116064430551605e-24,1.5935890027930232e-08,0.0,-1.645603609122733e-13,0.5105159918420474,4.0934588789599146e-05,0.3959930430204078,0.0,-4.556208194539768e-15,3.5977609816533497e-12,0.0,1.137315637379693e-14,0.0,0.0925607926629685,0.0
0.18,2.8332312299596282e-24,1.2920377862704799e-08,0.0,-1.262947132407625e-13,0.5146009662390266,3.0468172288428777e-05,0.4040851598175786,0.0,-3.37543459701313e-15,6.76387535478356e-12,0.0,1.4869469961885508e-14,0.0,0.0978624365004061,0.0
0.19,3.941179262763735e-24,7.661653601681706e-09,0.0,-6.374217443190694e-14,0.5176759750368876,1.3811966383293159e-05,0.4034303596343909,0.0,-1.5032162979093934e-15,1.0028347941367215e-11,0.0,1.7652867798709026e-14,0.0,0.1031396909670125,0.0
0.2,4.908783004422571e-24,1.4181569309740082e-10,0.0,2.2667060015805294e-14,0.5197877069729391,-8.845200096889091e-06,0.3942803898604627,0.0,1.0380691961481942e-15,1.3055155610086323e-11,0.0,1.922312431426219e-14,0.0,0.1083912408603388,0.0
0.21,5.5909790687340946e-24,-9.410821325298255e-09,0.0,1.2973893174041938e-13,0.5209916712468627,-3.6597637475398886e-05,0.3775074629860443,0.0,4.145765444910049e-15,1.5444527733407447e-11,0.0,1.9080514867248235e-14,0.0,0.1136157773840545,0.0
0.22,5.835478110892894e-24,-2.048103035014616e-08,0.0,2.511287825259181e-13,0.521356135039334,-6.773105150229599e-05,0.35452622847125737,0.0,7.626800175807955e-15,1.676022770945721e-11,0.0,1.678142711010227e-14,0.0,0.118811998474127,0.0
0.23,5.497733022394264e-24,-3.224691080849942e-08,0.0,3.7720064240391306e-13,0.5209645621073692,-9.969595731428938e-05,0.3271557784111029,0.0,1.1194866878545393e-14,1.6568200515438033e-11,0.0,1.200265974515418e-14,0.0,0.1239786091233236,0.0
0.24,4.459062557929766e-24,-4.358887265984848e-08,0.0,4.952141539296453e-13,0.5199157907081593,-0.00012916667972981795,0.2974374487375182,0.0,1.4477200827140025e-14,1.4485344553780612e-11,0.0,4.609600766273582e-15,0.0,0.1291143217039541,0.0
0.25,2.6467647827479444e-24,-5.31340782255969e-08,0.0,5.899062626889366e-13,0.5183214097673069,-0.0001522023468215611,0.2674344483644651,0.0,1.7032770813531354e-14,1.0235709029333934e-11,0.0,-5.278243031758541e-15,0.0,0.1342178562887749,0.0
0.26,5.452117533827437e-26,-5.93409190270262e-08,0.0,6.445089862503186e-13,0.516300144790307,-0.00016451936189782411,0.2390436731519656,0.0,1.8382929085354942e-14,3.709869857349138e-12,0.0,-1.723235051644709e-14,0.0,0.1392879409699733,0.0
0.27,-3.2390958160116298e-24,-6.0624888063701e-08,0.0,6.42207244338389e-13,0.5139695583619789,-0.0001618750076705304,0.21384476283750364,0.0,1.8054458560302375e-14,-4.978254941149834e-12,0.0,-3.0479871252584595e-14,0.0,0.1443233121761542,0.0
0.28,-7.056575094653816e-24,-5.552297735405192e-08,0.0,5.679929483046789e-13,0.511436005063498,-0.000140549406535155,0.19300062433964307,0.0,1.56335637614278e-14,-1.544414453506262e-11,0.0,-4.389706372577639e-14,0.0,0.1493227149872479,0.0
0.29,-1.1114634898584087e-23,-4.2888683801087534e-08,0.0,4.108158084058508e-13,0.5087845114692313,-9.789871550252286e-05,0.17721302243478,0.0,1.0827747110038223e-14,-2.7002778790211867e-11,0.0,-5.603992771432453e-14,0.0,0.1542849034472631,0.0
0.3,-1.502730036814986e-23,-2.2104184888914445e-08,0.0,1.6587167717537673e-13,0.5060708294898372,-3.2937252237447834e-05,0.16672891830852707,0.0,3.530816470153495e-15,-3.866408257482721e-11,0.0,-6.521860678486585e-14,0.0,0.1592086408748047,0.0
0.31,-1.8321207102014513e-23,6.709265019354325e-09,0.0,-1.631887189856339e-13,0.50331780226431,5.310830900077837e-05,0.16138815027588177,0.0,-6.1153529775394834e-15,-4.9161013808283e-11,0.0,-6.961904162281747e-14,0.0,0.1640927001712813,0.0
0.32,-2.0464711166939707e-23,4.2506552246781263e-08,0.0,-5.623972157746918e-13,0.5005170350901883,0.00015634168219809288,0.1607003878084053,0.0,-1.767002962544624e-14,-5.701593312608388e-11,0.0,-6.747104298613966e-14,0.0,0.1689358641267233,0.0
0.33,-2.0911277231795345e-23,8.318691931667855e-08,0.0,-1.0062514392737282e-12,0.49763517799831425,0.0002699134122665168,0.16393860543304953,0.0,-3.036239069062736e-14,-6.064815544880464e-11,0.0,-5.72565768331252e-14,0.0,0.1737369257231377,0.0
0.34,-1.9156157925004446e-23,1.2554402419393675e-07,0.0,-1.4574521275845646e-12,0.49462294459422923,0.0003839890746541487,0.17023716770538322,0.0,-4.3088554448735275e-14,-5.852178987567468e-11,0.0,-3.7945924983054776e-14,0.0,0.1784946884353219,0.0
0.35,-1.4803637269999066e-23,1.6532534047805094e-07,0.0,-1.8678796242758043e-12,0.491424816535307,0.00048604027522843496,0.17868452589777115,0.0,-5.4444791004920114e-14,-4.9328262023671406e-11,0.0,-9.24298098990116e-15,0.0,0.1832079665290631,0.0
0.36,-7.640206775090017e-24,1.9742363288589977e-07,0.0,-2.1810335224674856e-12,0.48798787091446816,0.0005615127076687111,0.1884030398041066,0.0,-6.280292891707632e-14,-3.219255898460085e-11,0.0,2.8185099976833998e-14,0.0,0.1878755853566478,0.0
0.37,2.2928581527768463e-24,2.1621467806534762e-07,0.0,-2.3360570848353414e-12,0.4842687942318854,0.0005948982115010477,0.19861114857744894,0.0,-6.643090464035014e-14,-6.886663734833065e-12,0.0,7.252358860150572e-14,0.0,0.192496381649609,0.0
