time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,0.05123898227689409,0.030410286823991127,0.0,6.43690286268832e-12,0.0025144800663578033,0.0022210301941143155,0.0003457875776547454,0.0,2.1423222502746457e-11,1.396033001513599e-11,2.828263919237848e-13,0.0,0.0,0.0
0.01,0.05271445948418858,0.030369126376514174,0.0,7.041253218460883e-12,0.014933132034115101,0.013193090150396202,0.0004251422847534796,0.0,3.177617192218577e-11,2.1717488332843314e-11,-3.5830281364417073e-13,0.0027552189965462,0.0,0.0
0.02,0.054070507993653635,0.03037013694535864,0.0,7.026023515740338e-12,0.02613523793429664,0.023090384181851432,0.0004781905448352573,0.0,4.1378469636851516e-11,2.9144388841302694e-11,-1.1316258622687615e-12,0.0055097513347562,0.0,0.0
0.03,0.05530445216343322,0.030451979423362786,0.0,6.2267137568891596e-12,0.03513573398049565,0.03104260339242435,0.0004919012122367888,0.0,4.89627670004936e-11,3.532794769094848e-11,-1.9867507065335145e-12,0.0082629105274234,0.0,0.0
0.04,0.05641902503396534,0.030642993545087267,0.0,4.5217446625756866e-12,0.0412124122373881,0.036411668659824564,0.000454112118323633,0.0,5.314580146099876e-11,3.92481931687582e-11,-2.850687340156531e-12,0.0110140104295578,0.0,0.0
0.05,0.057416097216192626,0.03095832542624869,0.0,1.8574674896577236e-12,0.04397475713046471,0.03885254677737023,0.00035512328596250676,0.0,5.255086791398451e-11,3.986282733552178e-11,-3.629889315202903e-12,0.0137623654093879,0.0,0.0
0.06,0.058294076945737947,0.031399330756694606,0.0,-1.7276590544461679e-12,0.043377622811172536,0.03832533329529981,0.00018945111104217118,0.0,4.596241272303374e-11,3.6216948284728906e-11,-4.215124934201819e-12,0.0165072905192344,0.0,0.0
0.07,0.059048279819813664,0.03195478323763863,0.0,-6.082632215135629e-12,0.039691167826829465,0.035068688881319775,-4.2404808479194625e-05,0.0,3.250420443258506e-11,2.7572501055948126e-11,-4.489396348299074e-12,0.0192481016662133,0.0,0.0
0.08,0.059673190369022924,0.03260322317482597,0.0,-1.0930480953418372e-11,0.033443159038307295,0.02954886453351479,-0.0003323705082154166,0.0,1.1827625532522999e-11,1.3548378033000485e-11,-4.338844965270903e-12,0.0219841157827265,0.0,0.0
0.09,0.06016554438302472,0.03331584857799952,0.0,-1.5865225295500466e-11,0.025348070412701883,0.022397061060140538,-0.0006635999374526589,0.0,-1.5708103179656404e-11,-5.741527913713935e-12,-3.66623352360408e-12,0.0247146509966967,0.0,0.0
0.1,0.06052729709021556,0.03405950520586608,0.0,-2.0362342029730347e-11,0.01623361366630867,0.01434452085023863,-0.0010099012454255598,0.0,-4.888593720097056e-11,-2.956819266742859e-11,-2.4061992606451565e-12,0.0274390268015036,0.0,0.0
0.11,0.06076773428344463,0.03479948640493661,0.0,-2.3805197724351354e-11,0.006971566558582805,0.006161417974882127,-0.001336007775137058,0.0,-8.553602357387571e-11,-5.6503396163535166e-11,-5.410599049953858e-13,0.030156564225581,0.0,0.0
0.12,0.06090423199899812,0.03550198630993477,0.0,-2.5528797535138395e-11,-0.0015834428135659928,-0.0013972213015993667,-0.001598876938072178,0.0,-1.2252101442310887e-10,-8.439073024432e-11,1.884433926553494e-12,0.0328665860016304,0.0,0.0
0.13,0.06096148671607841,0.03613615405273162,0.0,-2.4880637658708577e-11,-0.008646005470972025,-0.007637516280896004,-0.00175013167984737,0.0,-1.5582484770670915e-10,-1.103896698167859e-10,4.7513202741453255e-12,0.0355684167354107,0.0,0.0
