time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.0,0.4521515149293398,0.27530401480915534,0.0,2.2165469200132995e-09,-5.039536343884254e-07,-6.480590554263947e-07,0.0029220268542365685,3.3143658769271136e-09,1.2855704159867707e-09,0.0,0.0,0.0
0.01,0.4641724051452169,0.2719508902930081,0.0,2.799611493940805e-09,-1.8540878069459752e-07,-2.5293233557262066e-07,0.002738634157061157,3.486647668701013e-09,9.947402942823695e-10,0.0027552189965462,0.0,0.0
0.02,0.47497917100507475,0.2690630192102881,0.0,3.2282729415395166e-09,2.391629372624512e-07,2.762590312876282e-07,0.0024817283980688607,3.3180701442771745e-09,5.154692176837183e-10,0.0055097513347562,0.0,0.0
0.03,0.4839481647992235,0.2670065477096315,0.0,3.413527611305281e-09,7.510673459632866e-07,9.167271157033798e-07,0.002111338440420306,2.7359188449884773e-09,-1.4958221920400097e-10,0.0082629105274234,0.0,0.0
0.04,0.4905939511463366,0.2660476877370934,0.0,3.2695201294044805e-09,1.316900658455167e-06,1.6272181517982182e-06,0.0015805362006115092,1.6938879729242155e-09,-9.764153347597001e-10,0.0110140104295578,0.0,0.0
0.05,0.4945625908225667,0.26632904945202734,0.0,2.7239191123086596e-09,1.8883122219670386e-06,2.347639214885426e-06,0.0008471744306796774,1.843046632320291e-10,-1.9166340358453365e-09,0.0137623654093879,0.0,0.0
0.06,0.49562601150804786,0.2678658530647358,0.0,1.7295746020011526e-09,2.4033629551772303e-06,3.00067619390053e-06,-0.00011322773384023533,-1.7506566523197958e-09,-2.8962733689293883e-09,0.0165072905192344,0.0,0.0
0.07,0.4936798513210745,0.2705577120643713,0.0,2.765068700014445e-10,2.7897566817748563e-06,3.4957575666081096e-06,-0.001294678420618768,-4.010285643713226e-09,-3.817152382606343e-09,0.0192481016662133,0.0,0.0
0.08,0.4887454527749971,0.274210055840853,0.0,-1.5970154650647756e-09,2.970088002583241e-06,3.7355531560128658e-06,-0.0026493531887092515,-6.4308152975431335e-09,-4.561278212457838e-09,0.0219841157827265,0.0,0.0
0.09,0.4809748992015342,0.2785599495523518,0.0,-3.795782119660298e-09,2.8690650115393694e-06,3.6249663686665395e-06,-0.004079113061708984,-8.786688762528928e-09,-4.998630901304003e-09,0.0247146509966967,0.0,0.0
