time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,-5.031625360689461e-07,0.657982032194424,0.0,-2.4429678097561102e-21,1.931158004285593,0.00030176646250824847,-1.347690228909538e-07,0.0,-3.167681501199185e-19,9.436415836646367e-22,3.6765671939112987e-09,0.0,0.0,0.0
0.01,-1.1170506318224758e-06,0.6587635384883256,0.0,-3.1084816952947514e-21,1.9311586230774809,0.0004169084795016217,-1.3349176823195835e-07,0.0,-3.4287313149481273e-19,-1.3971192192863715e-21,3.029507295517504e-09,0.0,0.0,0.0123984854844581
0.02,-1.771593154085433e-06,0.6594622634165784,0.0,-3.607418664048716e-21,1.931160073378243,0.0005166597171321417,-1.1705230645198809e-07,0.0,-3.379161761003891e-19,-4.213758454179005e-21,1.8725645481794112e-09,0.0,0.0,0.0247938810064031
0.03,-2.405030759975328e-06,0.6598805370336839,0.0,-3.839708026403179e-21,1.931162417219557,0.0005858175876397717,-8.320868918900247e-08,0.0,-2.941157993191173e-19,-7.315939438361603e-21,1.9741060422838623e-10,0.0,0.0,0.0371830973734054
0.04,-2.941381286939957e-06,0.6598743485236385,0.0,-3.708038928971609e-21,1.9311656340755163,0.0006084967015147649,-3.10497323332381e-08,0.0,-2.0591548710024593e-19,-1.0426640680151294e-20,-1.9489875192061287e-09,0.0,0.0,0.0495630469330103
0.05,-3.295059918729273e-06,0.6593803529889116,0.0,-3.1294036068708047e-21,1.931169600996819,0.0005697084187589511,3.854687614501345e-08,0.0,-7.119735974335612e-20,-1.3187780021256864e-20,-4.454749546037793e-09,0.0,0.0,0.0619306443422459
0.06,-3.377804664242044e-06,0.6584298924072387,0.0,-2.048149037543917e-21,1.9311740787868723,0.00045726417107342813,1.2253218139667172e-07,0.0,1.0756036224960325e-19,-1.5175641464684046e-20,-7.138090581857974e-09,0.0,0.0,0.0742828073365548
0.07,-3.107756673227053e-06,0.657147405529802,0.0,-4.494926654157484e-22,1.931178707375104,0.00026387797580922225,2.1544204012721875e-07,0.0,3.223256605264019e-19,-1.592681202339635e-20,-9.748751386962823e-09,0.0,0.0,0.0866164574979598
0.08,-2.4202653309557544e-06,0.6557325560786967,0.0,1.6278737743322597e-21,1.9311830133680867,-1.0712001443477894e-05,3.093558940849941e-07,0.0,5.589146924502237e-19,-1.4974316768448914e-20,-1.1977413982210298e-08,0.0,0.0,0.0989285210222696
0.09,-1.2796812424721969e-06,0.6544278832277611,0.0,4.081736148358471e-21,1.9311864322066448,-0.00035783345361565426,3.9411718450439736e-07,0.0,7.969163009207963e-19,-1.1892383153482769e-20,-1.3474199228615383e-08,0.0,0.0,0.1112159294851353
0.1,3.0890711039655656e-07,0.6534767831781234,0.0,6.740666549058982e-21,1.9311883463869426,-0.0007584505424094818,4.5786111842637275e-07,0.0,1.0102876015495296e-18,-6.3468526826732494e-21,-1.3876628938365029e-08,0.0,0.0,0.1234756206067662
0.11,2.289311094442187e-06,0.6530799666228764,0.0,9.364489090010687e-21,1.9311881398112776,-0.0011825030017589598,4.878736382022758e-07,0.0,1.168734531904338e-18,1.8531855143844674e-21,-1.2846486982586496e-08,0.0,0.0,0.1357045390151145
0.12,4.546773054333692e-06,0.6533609989283093,0.0,1.1652502708241499e-20,1.9311852665612814,-0.0015892935743540802,4.717750745834906e-07,0.0,1.2399346523049905e-18,1.2708270304604691e-20,-1.0113874243781317e-08,0.0,0.0,0.1478996370073372
0.13,6.904996104497968e-06,0.6543505080139597,0.0,1.3260628789193e-20,1.9311793303271665,-0.0019291623341938426,3.98984170245538e-07,0.0,1.1925813518055343e-18,2.599264575420654e-20,-5.525496260120628e-09,0.0,0.0,0.1600578753093483
0.14,9.129209003221441e-06,0.6559924963072797,0.0,1.382797388448005e-20,1.9311701685334002,-0.0021466075790254847,2.6237514906291303e-07,0.0,1.0001318329438297e-18,4.1236613781975574e-20,9.070417577555018e-10,0.0,0.0,0.1721762238332693
0.15,1.09365446587538e-05,0.6581676055449727,0.0,1.3012384080451198e-20,1.931157933081243,-0.002184895179313252,5.999565224732521e-08,0.0,6.450315676608181e-19,5.77337875881714e-20,8.964292037889267e-09,0.0,0.0,0.1842516624325907
0.16,1.2014541840259171e-05,0.6607225999522673,0.0,1.0533455785803489e-20,1.9311431578369456,-0.0019920441493824948,-2.0332884917674186e-07,0.0,1.2307405028130743e-19,7.457834569810679e-20,1.8187576404771185e-08,0.0,0.0,0.1962811816548557
0.17,1.204789502043304e-05,0.663495426613352,0.0,6.220228133992448e-21,1.9311268018180383,-0.0015278930825569888,-5.14712730206688e-07,0.0,-5.525518601268787e-19,9.073456155024657e-20,2.7865737433829753e-08,0.0,0.0,0.2082617834916791
0.18,1.0752695118387938e-05,0.6663293086740855,0.0,5.951817689936875e-23,1.9311102567646763,-0.0007717524501724524,-8.524787274958941e-07,0.0,-1.3480601225755333e-18,1.0513658344084283e-19,3.704636487059957e-08,0.0,0.0,0.2201904821259137
0.19,7.916369195010902e-06,0.6690747752274314,0.0,-7.760294651921349e-21,1.9310953087022475,0.00027005075489400926,-1.1862062529618931e-06,0.0,-2.2072934686030693e-18,1.1681055628261172e-19,4.4576816042613364e-08,0.0,0.0,0.2320643046757783
0.2,3.440413826763414e-06,0.6715839018001835,0.0,-1.6816116190749976e-20,1.9310840454211167,0.001557604733173382,-1.4777633078167884e-06,0.0,-3.0519570472070126e-18,1.250036868836208e-19,4.9178468056834054e-08,0.0,0.0,0.2438802919357625
0.21,-2.6180725416608032e-06,0.6737050317627855,0.0,-2.6434149597949225e-20,1.931078705637592,0.0030128159682401914,-1.6834712709938748e-06,0.0,-3.7843723474388415e-18,1.2929637762414154e-19,4.955487246758386e-08,0.0,0.0,0.2556354991141227
0.22,-1.0010991136565358e-05,0.6752865725217974,0.0,-3.569745072592093e-20,1.9310814709381805,0.00451782924991131,-1.7574661095052872e-06,0.0,-4.293121688756399e-18,1.2966754151524152e-19,4.453089931111979e-08,0.0,0.0,0.2673269965667859
0.23,-1.8275553351411943e-05,0.6761936959823948,0.0,-4.3482503114147804e-20,1.931094208256656,0.005917459331833661,-1.6562037825059051e-06,0.0,-4.461731995819066e-18,1.2648703420773777e-19,3.321573572871667e-08,0.0,0.0,0.2789518705274782
0.24,-2.6728070798707506e-05,0.6763343439387588,0.0,-4.85285361897351e-20,1.9311181782036584,0.007026455508390456,-1.3439165784295939e-06,0.0,-4.180249058287706e-18,1.2042749472279066e-19,1.5178042409293228e-08,0.0,0.0,0.2905072238338968
0.25,-3.448060287388773e-05,0.6756857170147313,0.0,-4.9540674053577226e-20,1.9311537324685915,0.0076421113050237945,-7.986697175841562e-07,0.0,-3.3591926759408214e-18,1.1231347216879094e-19,-9.382916058232494e-09,0.0,0.0,0.3019901766497435
0.26,-4.048474479039407e-05,0.6743118623031055,0.0,-4.532453819001721e-20,1.9312000309549908,0.007562285264155687,-1.8506853389270605e-08,0.0,-1.9449820845505305e-18,1.0294356732136199e-19,-3.9490244905885276e-08,0.0,0.0,0.31339786718244
0.27,-4.360497486096906e-05,0.6723657094404797,0.0,-3.49457980784844e-20,1.93125481534416,0.0066083290069083814,9.729739290613519e-07,0.0,6.448641804645887e-20,9.292410531116991e-20,-7.32892845891401e-08,0.0,0.0,0.324727452396347
0.28,-4.272134706109159e-05,0.6700727149345215,0.0,-1.790364896884818e-20,1.931314279360383,0.0046517563899192895,2.1223853999347503e-06,0.0,2.6057981731531104e-18,8.254523454778273e-20,-1.0801806214117503e-07,0.0,0.0,0.3359761087213079
0.29,-3.685799973927415e-05,0.6676971548538504,0.0,5.697306155205615e-21,1.9313730760786416,0.0016427824304976486,3.344487654623492e-06,0.0,5.539486077387644e-18,7.17196426366003e-20,-1.4007054218336603e-07,0.0,0.0,0.3471410327563419
0.3,-2.5330138719452147e-05,0.6654959135923697,0.0,3.499627999515013e-20,1.9314244982234097,-0.0023618192712972115,4.523107236364678e-06,0.0,8.645113901214246e-18,5.999372139788693e-20,-1.6517054753945015e-07,0.0,0.0,0.3582194419683107
0.31,-7.898132799264239e-06,0.6636682218106285,0.0,6.826902937790341e-20,1.931460857846221,-0.007174663163643451,5.515736925321528e-06,0.0,1.1624029598683081e-17,4.6631643046152367e-20,-1.786667266777768e-07,0.0,0.0,0.369208575385383
0.32,1.5086477599521547e-05,0.6623123180084105,0.0,1.0288766693554592e-19,1.931474076715573,-0.012460993896083877,6.162292830117384e-06,0.0,1.4111540280543266e-17,3.076450014136227e-20,-1.759482906718044e-07,0.0,0.0,0.3801056942851275
0.33,4.256143704991792e-05,0.6613995154935368,0.0,1.3537001141793834e-19,1.9314564784034125,-0.017732785989712015,6.298171746240239e-06,0.0,1.5699684428818004e-17,1.1589492782853492e-20,-1.529677607415713e-07,0.0,0.0,0.3909080828770599
0.34,7.268106708710524e-05,0.660771431307826,0.0,1.6153701514608148e-19,1.9314017482470927,-0.02235694718134365,5.771312702267906e-06,0.0,1.5970915803466313e-17,-1.1401764862292574e-20,-1.0684139706835389e-07,0.0,0.0,0.4016130489794744
0.35,0.00010281102810840462,0.6601591655457304,0.0,1.7678978154729326e-19,1.9313059996633652,-0.02558010198867315,4.462442675790845e-06,0.0,1.4541886474226536e-17,-3.819122272735314e-20,-3.6481488741872316e-08,0.0,0.0,0.412217924690392
0.36,0.00012960923050327417,0.6592180423930147,0.0,1.765074975647724e-19,1.931168856990652,-0.026571175667612475,2.307113019441328e-06,0.0,1.11151772991299e-17,-6.802685643197078e-20,5.680114276039306e-08,0.0,0.0,0.4227200670524575
0.37,0.00014920702088242908,0.6575701238143333,0.0,1.565545377395626e-19,1.930994439119783,-0.02448127114931161,-6.824394243811745e-07,0.0,5.53536473689131e-18,-9.926861889443028e-20,1.6879930322387535e-07,0.0,0.0,0.4331168587116205
0.38,0.0001574974263020757,0.6548478593181318,0.0,1.1386972720244029e-19,1.9307921081592994,-0.01851820993591592,-4.398080425604704e-06,0.0,-2.1556371315711768e-18,-1.2931537521419243e-19,2.9209959020550366e-07,0.0,0.0,0.4434057085694337
0.39,0.00015052717379811817,0.6507340083637367,0.0,4.709438430892526e-20,1.930576837075585,-0.0080307415638592,-8.622059067349813e-06,0.0,-1.1670297586227128e-17,-1.5463616678669423e-19,4.1604538759508545e-07,0.0,0.0,0.4535840524288103
0.4,0.00012497680149543147,0.6449944905196919,0.0,-4.2820177105630174e-20,1.9303690534003042,0.0074049573423457665,-1.3021777355744095e-05,0.0,-2.244150747584651e-17,-1.7092214757310545e-19,5.270499799222985e-07,0.0,0.0,0.4636493536330746
0.41,7.86991912894203e-05,0.6375019743605114,0.0,-1.5209863702376519e-19,1.9301938359696231,0.027905967966035033,-1.7155906369816217e-05,0.0,-3.3610545250706004e-17,-1.7336562761225338e-19,6.093189390165765e-07,0.0,0.0,0.4735991036981507
0.42,1.1272409079137857e-05,0.6282488814785988,0.0,-2.7380329005005716e-19,1.9300793805322314,0.05322139893598779,-2.0494213478295863e-05,0.0,-4.404418850019337e-17,-1.5706005711465536e-19,6.460113667735187e-07,0.0,0.0,0.483430822937729
0.43,-7.549068253876758e-05,0.6173491583656547,0.0,-3.9775597242656635e-19,1.9300547087194733,0.08270046554034871,-2.2452577301421424e-05,0.0,-5.238688909040876e-17,-1.1750004203184327e-19,6.20828793392993e-07,0.0,0.0,0.4931420610812561
0.44,-0.00017714420803693713,0.6050287795572397,0.0,-5.107987844958039e-19,1.9301466721077671,0.11529985295498829,-2.244337719394125e-05,0.0,-5.715162482441562e-17,-5.114456083797565e-20,5.199700498589954e-07,0.0,0.0,0.5027303978845936
0.45,-0.00028639654661447326,0.5916056256533523,0.0,-5.974555398395822e-19,1.9303763953317616,0.1496370357796023,-1.9939787438650282e-05,0.0,-5.684971596698356e-17,4.4009137972004775e-20,3.343332599150852e-07,0.0,0.0,0.5121934437331935
0.46,-0.0003931564526014201,0.5774602659848537,0.0,-6.410279977769036e-19,1.9307554032089642,0.1840904232772791,-1.4550568635254925e-05,0.0,-5.0155646628123434e-17,1.6790707971940898e-19,6.178678222825357e-08,0.0,0.0,0.5215288402376408
0.47,-0.00048490234143609397,0.5630003940040992,0.0,-6.251218039422265e-19,1.9312817777515592,0.2169385120488203,-6.09986968018306e-06,0.0,-3.609798273324072e-17,3.1805092426180553e-19,-2.90724511650662e-07,0.0,0.0,0.5307342608214127
0.48,-0.0005474204297112862,0.5486232118601174,0.0,-5.355479990383795e-19,1.9319367805366088,0.24651902037656945,5.295473824007742e-06,0.0,-1.4262191714693446e-17,4.893188619119565e-19,-7.055156203696657e-07,0.0,0.0,0.5398074113007112
0.49,-0.0005659287264623714,0.5346813688719813,0.0,-3.6248974137152295e-19,1.9326824411876247,0.2713789893998523,1.9160395964695046e-05,0.0,1.501395971795809e-17,6.740654789488535e-19,-1.153243879079565e-06,0.0,0.0,0.548746030456221
0.5,-0.0005265655997695306,0.5214577669578082,0.0,-1.0276484746173752e-19,1.9334606398992313,0.29038649509779596,3.4618238738811394e-05,0.0,5.04761126306784e-17,8.625514424130412e-19,-1.593039491874836e-06,0.0,0.0,0.557547890596653
0.51,-0.00041817546706935077,0.509151796809665,0.0,2.38041316629058e-19,1.9341941877410382,0.30278926764407116,5.038033245979422e-05,0.0,8.984671003009492e-17,1.0437195631438976e-18,-1.973950763270451e-06,0.0,0.0,0.5662107981139324
0.52,-0.00023427308638393525,0.49787584032488585,0.0,6.438441409106094e-19,1.9347903217599451,0.3082263920546773,6.477850657542943e-05,0.0,1.2980338648806756e-16,1.206282901263375e-18,-2.2378962292959838e-06,0.0,0.0,0.5747325940298904
0.53,2.4983683711514177e-05,0.48765902641128367,0.0,1.0870291145961468e-18,1.9351468754386036,0.3067092367633976,7.58484306000842e-05,0.0,1.6606755074169215e-16,1.3400219125392218e-18,-2.3242001541749733e-06,0.0,0.0,0.5831111545343282
0.54,0.0003510293491054274,0.4784560965346332,0.0,1.5284246402496312e-18,1.9351611574053862,0.2985818020551945,8.146815862893644e-05,0.0,1.9362288445717737e-16,1.4371053186435544e-18,-2.175632591357593e-06,0.0,0.0,0.5913443915143141
0.55,0.0007255861533081941,0.47016059075531214,0.0,1.918550463298588e-18,1.9347412784331428,0.28446220378701215,7.955129266868177e-05,0.0,2.0707434806032414e-16,1.4931804466916681e-18,-1.7456870409976715e-06,0.0,0.0,0.5994302530745854
0.56,0.0011200874693418077,0.4626211061726671,0.0,2.200345231786554e-18,1.9338193234930514,0.2651697787220994,6.828795601567552e-05,0.0,2.0114552693580278e-16,1.5079819187177357e-18,-1.0066197344603476e-06,0.0,0.0,0.6073667240489239
0.57,0.001496088381924313,0.4556576930587598,0.0,2.3134670653041383e-18,1.9323653961962897,0.2416527104565157,4.641962948854181e-05,0.0,1.7129621224618138e-16,1.4853204949461506e-18,4.2437646148756124e-08,0.0,0.0,0.6151518265023771
