time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,8.210934534300779e-07,1.6800880331335581,0.0,-1.6898293153942625e-21,1.9073222418475044,-4.654021425540509e-07,3.9571828771245326e-08,-1.6292653753218345e-20,6.261475797667061e-09,0.0,0.0,0.0
0.01,1.009520036004344e-06,1.687227436225061,0.0,-2.120260250096612e-21,1.9073227201496152,-3.0525900055619656e-07,3.86640661943412e-08,-7.772311543220529e-21,4.88643067105161e-09,0.0,0.0,0.0123984854844581
0.02,1.1364165078995182e-06,1.6941017403172067,0.0,-2.4307652212211012e-21,1.9073233580653897,-6.827209462817386e-08,3.322051671769561e-08,3.809228147035501e-21,2.6000877116533428e-09,0.0,0.0,0.0247938810064031
0.03,1.1711911423420041e-06,1.700217027556752,0.0,-2.5547055868684146e-21,1.907324127589889,2.398613381286293e-07,2.2628857027799387e-08,1.796908461317352e-20,-5.881729446486706e-10,0.0,0.0,0.0371830973734054
0.04,1.0852734745061089e-06,1.7052220414214856,0.0,-2.428279635342438e-21,1.9073249785958124,6.04017541556095e-07,6.684037744534877e-09,3.3808456828910725e-20,-4.566328598445832e-09,0.0,0.0,0.0495630469330103
0.05,8.558282212396142e-07,1.7089782988911981,0.0,-1.9983664943055175e-21,1.907325838464482,9.98796719183188e-07,-1.4279709402063957e-08,5.000323432128616e-20,-9.104618260562699e-09,0.0,0.0,0.0619306443422459
0.06,4.6982869808303544e-07,1.711596046152631,0.0,-1.2312882865217714e-21,1.907326614114722,1.3885864407652338e-06,-3.9281324314109625e-08,6.484091252047827e-20,-1.3849468513055252e-08,0.0,0.0,0.0742828073365548
0.07,-7.186604897067538e-08,1.7134290254905615,0.0,-1.2176410267147543e-22,1.9073271968476,1.728775813251887e-06,-6.662833147545036e-08,7.631287101646948e-20,-1.832953515032557e-08,0.0,0.0,0.0866164574979598
0.08,-7.508820239173811e-07,1.7150262003285894,0.0,1.298886783966926e-21,1.9073274702244802,1.9682942957518675e-06,-9.391390651870932e-08,8.226762413576761e-20,-2.1976439717407103e-08,0.0,0.0,0.0989285210222696
0.09,-1.5286720157455619e-06,1.7170451805597096,0.0,2.9564045187650635e-21,1.9073273209174468,2.0535486224503025e-06,-1.1809245949171511e-07,8.062573251773657e-20,-2.416184050618488e-08,0.0,0.0,0.1112159294851353
0.1,-2.345383836011715e-06,1.7201401327968702,0.0,4.730314628590802e-21,1.9073266521248113,1.9336957916079828e-06,-1.3564640456852481e-07,6.965083723322403e-20,-2.425110397961417e-08,0.0,0.0,0.1234756206067662
0.11,-3.120790157436081e-06,1.7248459155884803,0.0,6.454906307905116e-21,1.9073253987504186,1.5670251136390314e-06,-1.4285006129615877e-07,4.8264097833631047e-20,-2.1672071036664172e-08,0.0,0.0,0.1357045390151145
0.12,-3.757729713169709e-06,1.7314868011598492,0.0,7.925495029468326e-21,1.9073235431347202,9.280382985476725e-07,-1.3612744405678613e-07,1.6381732472756792e-20,-1.5995332929341172e-08,0.0,0.0,0.1478996370073372
0.13,-4.148351456927482e-06,1.740135399695699,0.0,8.910691655986133e-21,1.907321129739234,1.4628821749930868e-08,-1.1248940345254582e-07,-2.4751894349956484e-20,-7.020192237939457e-09,0.0,0.0,0.1600578753093483
0.14,-4.18322032938593e-06,1.7506308620193793,0.0,9.170927126741719e-21,1.907318276873455,-1.1454098204716802e-06,-7.002287496835463e-08,-7.226923415444314e-20,5.141709154872031e-09,0.0,0.0,0.1721762238332693
0.15,-3.763041325173099e-06,1.762642344039274,0.0,8.482854139175222e-21,1.9073151833690476,-2.4894494935060193e-06,-8.391897707482956e-09,-1.21460043791778e-19,1.9995004846059815e-08,0.0,0.0,0.1842516624325907
0.16,-2.8124026216148934e-06,1.7757487396660547,0.0,6.668493262970476e-21,1.9073121281050902,-3.9176363609547215e-06,7.070206035895761e-08,-1.656656626368039e-19,3.661267017982322e-08,0.0,0.0,0.1962811816548557
