time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,Top_ECU,pos_flex,pos_dev,pos_pro
0.0,2.0016773823068003e-12,0.10165423500425494,0.0,-3.0370661234204546e-35,1.0850028644522192,-0.00036887477229701957,1.3752890348009114e-12,-1.6591347061678419e-12,-1.2569794129578253e-12,1.3685825717002716e-12,0.0,0.0,0.0
0.01,1.168942815148033e-12,0.10827416508299957,0.0,-7.395931916562892e-35,1.1748918622426705,0.005890109226343475,1.4475502109464825e-12,-2.192944851838659e-12,-1.1526663813722562e-12,8.142661503031436e-13,0.0,0.0,0.0123984854844581
0.02,-1.6927523224680367e-14,0.11482068628767951,0.0,-1.2103867861941365e-34,1.2637011324235987,0.012131265060803078,1.3784941044761518e-12,-2.6264894763491164e-12,-8.924099232079892e-13,2.0868880284184292e-14,0.0,0.0,0.0247938810064031
0.03,-1.5190061174426766e-12,0.12129244644709239,0.0,-1.6732402915339755e-34,1.350351884876766,0.01858549195409792,1.137881279164448e-12,-2.8847442184179164e-12,-4.632735460588292e-13,-9.87659082138184e-13,0.0,0.0,0.0371830973734054
0.04,-3.2553564356922117e-12,0.12769866318165857,0.0,-2.074718564276235e-34,1.4337722455197024,0.025422918959929132,7.064065303297383e-13,-2.8920206701580094e-12,1.324009866938869e-13,-2.157060637102755e-12,0.0,0.0,0.0495630469330103
0.05,-5.096056301012681e-12,0.13406239472001094,0.0,-2.3538984687229925e-34,1.5129123823869906,0.03271515904190616,8.077495725403015e-14,-2.5801908181235686e-12,8.731555215010458e-13,-3.4006658315969947e-12,0.0,0.0,0.0619306443422459
0.06,-6.86474997084256e-12,0.14042169951512398,0.0,-2.447133808127711e-34,1.5867711220083212,0.04041463198193707,-7.216377893284836e-13,-1.898278218111982e-12,1.715670081381241e-12,-4.600319396620863e-12,0.0,0.0,0.0742828073365548
0.07,-8.345771361500204e-12,0.14682809756136364,0.0,-2.2944030156033596e-34,1.6544340159578286,0.04835466578412452,-1.6591699799302853e-12,-8.227177388063038e-13,2.5937080150374395e-12,-5.6110524255080115e-12,0.0,0.0,0.0866164574979598
0.08,-9.297541986941312e-12,0.15334211179920001,0.0,-1.8469596425521922e-34,1.715120129559549,0.056271467230455126,-2.6639846040487647e-12,6.326757815571492e-13,3.4193222998135404e-12,-6.269983862000449e-12,0.0,0.0,0.0989285210222696
0.09,-9.472439312134536e-12,0.16002617806364988,0.0,-1.0757857555284208e-34,1.7682322466890137,0.0638456987810718,-3.642579277294586e-12,2.408214715916493e-12,4.08679559271959e-12,-6.4095981652449575e-12,0.0,0.0,0.1112159294851353
0.1,-8.642665400365865e-12,0.1669358744639588,0.0,1.987522930011828e-36,1.8134032261486857,0.07075728107392346,-4.479282166577878e-12,4.392660363704948e-12,4.479609900853866e-12,-5.87509895723873e-12,0.0,0.0,0.1234756206067662
0.11,-6.630853509266723e-12,0.1741111901074301,0.0,1.4048332182737433e-34,1.8505304834526348,0.0767424240735449,-5.043146776049134e-12,6.421744522418993e-12,4.480484770852898e-12,-4.545005440960784e-12,0.0,0.0,0.1357045390151145
0.12,-3.343285705911397e-12,0.18157013581146858,0.0,3.002196052721325e-34,1.8797915182285272,0.08163847176854595,-5.198391848801145e-12,8.28218157600556e-12,3.984192679023032e-12,-2.353574887367112e-12,0.0,0.0,0.1478996370073372
0.13,1.1972658002854627e-12,0.18930675936885966,0.0,4.690704014396973e-34,1.9016361800582868,0.08540361904979143,-4.81817830798204e-12,9.722198425635415e-12,2.912473851803288e-12,6.869482355418819e-13,0.0,0.0,0.1600578753093483
0.14,6.822820422633227e-12,0.19729416423104934,0.0,6.306284399268372e-34,1.916755358440793,0.08810723868693568,-3.8010888865002735e-12,1.0469161570061359e-11,1.229957878478656e-12,4.4667729817392546e-12,0.0,0.0,0.1721762238332693
0.15,1.3199888162686675e-11,0.20549109917466596,0.0,7.648794044087541e-34,1.9260297895300034,0.08989858517223555,-2.089205902449267e-12,1.0254248140001553e-11,-1.0404053707822016e-12,8.764585371841015e-12,0.0,0.0,0.1842516624325907
0.16,1.9822097254466378e-11,0.21384941651686806,0.0,8.494605690909928e-34,1.9304655443448138,0.09096923870621944,3.1379105388945597e-13,8.84331143674539e-12,-3.8042502067226545e-12,1.3242203634058409e-11,0.0,0.0,0.1962811816548557
0.17,2.602003680595013e-11,0.2223198412742349,0.0,8.61522727213919e-34,1.9311239959627866,0.09152398035522019,3.3265112977876397e-12,6.072175992463859e-12,-6.8871151874492155e-12,1.7450773907989336e-11,0.0,0.0,0.2082617834916791
